DPW_Node_ID,PUC_Maximo_Asset_ID,System_Use_Code,System_Use,Drain_Type,POINT_X,POINT_Y,Location
382403347,382403347,Default,Undefined,Storm Water Inlet Drain,,,"(-6.829198, 39.2567731)"
382403351,382403351,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8291217, 39.2566512)"
382403352,382403352,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8287549, 39.2556743)"
382403355,382403355,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8297904, 39.2567731)"
382406327,382406327,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8274815, 39.2627151)"
382406328,382406328,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8279507, 39.2628406)"
382406329,382406329,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8284104, 39.2629543)"
382406330,382406330,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8278546, 39.2627412)"
382406331,382406331,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8283144, 39.2628665)"
382406332,382406332,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8269584, 39.2625743)"
